Vehicle_ID,Margin,Time,X,Y,Z
HEAD_A,5.0,23.0,100.0,50.0,10.0
HEAD_A,5.0,23.2,100.0,50.0,10.0
HEAD_A,5.0,23.4,100.0,50.0,10.0
HEAD_A,5.0,23.6,100.0,50.0,10.0
HEAD_A,5.0,23.8,100.0,50.0,10.0
HEAD_A,5.0,24.0,100.0,50.0,10.0
HEAD_A,5.0,24.2,100.0,50.0,10.0
HEAD_A,5.0,24.4,100.0,50.0,10.0
HEAD_A,5.0,24.6,100.0,50.0,10.0
HEAD_A,5.0,24.8,100.0,50.0,10.0
HEAD_A,5.0,25.0,100.0,50.0,10.0
HEAD_A,5.0,25.2,100.0,50.0,10.0
HEAD_A,5.0,25.4,100.0,50.0,10.0
HEAD_A,5.0,25.6,100.0,50.0,10.0
HEAD_A,5.0,25.8,100.0,50.0,10.0
HEAD_A,5.0,26.0,100.0,50.0,10.0
HEAD_A,5.0,26.2,100.0,50.0,10.0
HEAD_A,5.0,26.4,100.0,50.0,10.0
HEAD_A,5.0,26.6,100.0,50.0,10.0
HEAD_A,5.0,26.8,100.0,50.0,10.0
HEAD_A,5.0,27.0,100.0,50.0,10.0
HEAD_A,5.0,27.2,100.0,50.0,10.0
HEAD_A,5.0,27.4,100.0,50.0,10.0
HEAD_A,5.0,27.6,100.0,50.0,10.0
HEAD_A,5.0,27.8,100.0,50.0,10.0
HEAD_A,5.0,28.0,100.0,50.0,10.0
HEAD_A,5.0,28.2,100.0,50.0,10.0
HEAD_A,5.0,28.4,100.0,50.0,10.0
HEAD_A,5.0,28.6,100.0,50.0,10.0
HEAD_A,5.0,28.8,100.0,50.0,10.0
HEAD_A,5.0,29.0,100.0,50.0,10.0
HEAD_A,5.0,29.2,100.0,50.0,10.0
HEAD_A,5.0,29.4,100.0,50.0,10.0
HEAD_A,5.0,29.6,100.0,50.0,10.0
HEAD_A,5.0,29.8,100.0,50.0,10.0
HEAD_A,5.0,30.0,100.0,50.0,10.0
HEAD_A,5.0,30.2,100.0,50.0,10.0
HEAD_A,5.0,30.4,100.0,50.0,10.0
HEAD_A,5.0,30.6,100.0,50.0,10.0
HEAD_A,5.0,30.8,100.0,50.0,10.0
HEAD_A,5.0,31.0,100.0,50.0,10.0
HEAD_A,5.0,31.2,100.0,50.0,10.0
HEAD_A,5.0,31.4,100.0,50.0,10.0
HEAD_A,5.0,31.6,100.0,50.0,10.0
HEAD_A,5.0,31.8,100.0,50.0,10.0
HEAD_A,5.0,32.0,100.0,50.0,10.0
HEAD_A,5.0,32.2,100.0,50.0,10.0
HEAD_A,5.0,32.4,100.0,50.0,10.0
HEAD_A,5.0,32.6,100.0,50.0,10.0
HEAD_A,5.0,32.8,100.0,50.0,10.0
HEAD_A,5.0,33.0,100.0,50.0,10.0
HEAD_A,5.0,33.2,100.0,50.0,10.0
HEAD_A,5.0,33.4,100.0,50.0,10.0
HEAD_A,5.0,33.6,100.0,50.0,10.0
HEAD_A,5.0,33.8,100.0,50.0,10.0
HEAD_A,5.0,34.0,100.0,50.0,10.0
HEAD_A,5.0,34.2,100.0,50.0,10.0
HEAD_A,5.0,34.4,100.0,50.0,10.0
HEAD_A,5.0,34.6,100.0,50.0,10.0
HEAD_A,5.0,34.8,100.0,50.0,10.0
HEAD_A,5.0,35.0,100.0,50.0,10.0
HEAD_A,5.0,35.2,100.0,50.0,10.0
HEAD_A,5.0,35.4,100.0,50.0,10.0
HEAD_A,5.0,35.6,100.0,50.0,10.0
HEAD_A,5.0,35.8,100.0,50.0,10.0
HEAD_A,5.0,36.0,100.0,50.0,10.0
HEAD_A,5.0,36.2,100.0,50.0,10.0
HEAD_A,5.0,36.4,100.0,50.0,10.0
HEAD_A,5.0,36.6,100.0,50.0,10.0
HEAD_A,5.0,36.8,100.0,50.0,10.0
HEAD_A,5.0,37.0,100.0,50.0,10.0
HEAD_A,5.0,37.2,100.0,50.0,10.0
HEAD_A,5.0,37.4,100.0,50.0,10.0
HEAD_A,5.0,37.6,100.0,50.0,10.0
HEAD_A,5.0,37.8,100.0,50.0,10.0
HEAD_A,5.0,38.0,100.0,50.0,10.0
HEAD_A,5.0,38.2,100.0,50.0,10.0
HEAD_A,5.0,38.4,100.0,50.0,10.0
HEAD_A,5.0,38.6,100.0,50.0,10.0
HEAD_A,5.0,38.8,100.0,50.0,10.0
HEAD_A,5.0,39.0,100.0,50.0,10.0
HEAD_A,5.0,39.2,100.0,50.0,10.0
HEAD_A,5.0,39.4,100.0,50.0,10.0
HEAD_A,5.0,39.6,100.0,50.0,10.0
HEAD_A,5.0,39.8,100.0,50.0,10.0
HEAD_A,5.0,40.0,100.0,50.0,10.0
HEAD_A,5.0,40.2,100.0,50.0,10.0
HEAD_A,5.0,40.4,100.0,50.0,10.0
HEAD_A,5.0,40.6,100.0,50.0,10.0
HEAD_A,5.0,40.8,100.0,50.0,10.0
HEAD_A,5.0,41.0,100.0,50.0,10.0
HEAD_A,5.0,41.2,100.0,50.0,10.0
HEAD_A,5.0,41.4,100.0,50.0,10.0
HEAD_A,5.0,41.6,100.0,50.0,10.0
HEAD_A,5.0,41.8,100.0,50.0,10.0
